date_stamp;sku;quantity_sold
2022-01-13;10161;1.0
2022-01-13;10144;1.0
2022-01-13;10143;1.0
2022-01-13;10130;2.0
2022-01-13;10162;1.0
2022-01-13;10154;1.0
2022-01-13;10134;2.0
2022-01-13;10127;4.0
2022-01-13;10188;7.0
2022-01-13;10160;4.0
2022-01-13;10101;2.0
2022-01-13;10102;9.0
2022-01-13;10106;7.0
2022-01-13;10113;6.0
2022-01-13;10135;3.0
2022-01-13;10117;12.0
2022-01-13;10104;15.0
2022-01-13;10168;2.0
2022-01-13;10146;3.0
2022-01-13;10173;2.0
2022-01-13;10189;19.0
2022-01-13;10132;1.0
2022-01-13;10198;2.0
2022-01-13;10116;1.0
2022-01-13;10165;4.0
2022-01-13;10174;1.0
2022-01-13;10220;5.0
2022-01-13;10211;1.0
2022-01-13;10209;4.0
2022-01-13;10100;8.0
2022-01-13;10107;6.0
2022-01-13;10140;22.0
2022-01-13;10119;55.0
2022-01-13;10169;1.0
2022-01-13;10190;2.0
2022-01-13;10133;1.0
2022-01-13;10120;1.0
2022-01-13;10109;3.0
2022-01-13;10178;2.0
2022-01-13;10212;5.0
2022-01-13;10175;2.0
2022-01-13;10124;1.0
2022-01-13;10177;1.0
2022-01-13;10150;5.0
2022-01-14;10110;3.0
2022-01-14;10193;1.0
2022-01-14;10217;11.0
2022-01-14;10194;1.0
2022-01-14;10172;1.0
2022-01-14;10126;14.0
2022-01-14;10167;5.0
2022-01-14;10156;4.0
2022-01-14;10196;1.0
2022-01-14;10179;3.0
2022-01-14;10181;1.0
2022-01-14;10180;6.0
2022-01-14;10129;12.0
2022-01-14;10192;1.0
2022-01-14;10128;1.0
2022-01-14;10130;3.0
2022-01-14;10125;2.0
2022-01-14;10127;4.0
2022-01-14;10139;2.0
2022-01-14;10188;8.0
2022-01-14;10114;2.0
2022-01-14;10160;2.0
2022-01-14;10101;3.0
2022-01-14;10102;5.0
2022-01-14;10106;17.0
2022-01-14;10113;7.0
2022-01-14;10111;1.0
2022-01-14;10135;4.0
2022-01-14;10117;17.0
2022-01-14;10136;3.0
2022-01-14;10118;2.0
2022-01-14;10104;10.0
2022-01-14;10152;1.0
2022-01-14;10189;17.0
2022-01-14;10122;4.0
2022-01-14;10132;3.0
2022-01-14;10131;1.0
2022-01-14;10202;3.0
2022-01-14;10116;2.0
2022-01-14;10103;1.0
2022-01-14;10220;4.0
2022-01-14;10218;1.0
2022-01-14;10211;2.0
2022-01-14;10213;1.0
2022-01-14;10100;15.0
2022-01-14;10107;6.0
2022-01-14;10140;11.0
2022-01-14;10170;2.0
2022-01-14;10119;68.0
2022-01-14;10169;3.0
2022-01-14;10121;1.0
2022-01-14;10190;4.0
2022-01-14;10151;6.0
2022-01-14;10133;9.0
2022-01-14;10120;2.0
2022-01-14;10109;5.0
2022-01-14;10178;3.0
2022-01-14;10212;5.0
2022-01-14;10175;5.0
2022-01-14;10216;1.0
2022-01-14;10124;3.0
2022-01-14;10177;2.0
2022-01-14;10150;7.0
2022-01-15;10149;3.0
2022-01-15;10110;16.0
2022-01-15;10193;1.0
2022-01-15;10182;1.0
2022-01-15;10112;3.0
2022-01-15;10166;2.0
2022-01-15;10210;2.0
2022-01-15;10172;8.0
2022-01-15;10191;7.0
2022-01-15;10126;20.0
2022-01-15;10167;5.0
2022-01-15;10156;9.0
2022-01-15;10179;3.0
2022-01-15;10180;3.0
2022-01-15;10129;7.0
2022-01-15;10128;1.0
2022-01-15;10157;4.0
2022-01-15;10161;2.0
2022-01-15;10144;6.0
2022-01-15;10143;3.0
2022-01-15;10130;1.0
2022-01-15;10200;1.0
2022-01-15;10162;1.0
2022-01-15;10154;1.0
2022-01-15;10134;1.0
2022-01-15;10127;3.0
2022-01-15;10188;5.0
2022-01-15;10114;1.0
2022-01-15;10160;5.0
2022-01-15;10101;4.0
2022-01-15;10102;12.0
2022-01-15;10106;35.0
2022-01-15;10113;12.0
2022-01-15;10135;7.0
2022-01-15;10117;25.0
2022-01-15;10136;3.0
2022-01-15;10118;1.0
2022-01-15;10104;12.0
2022-01-15;10105;2.0
2022-01-15;10168;1.0
2022-01-15;10142;1.0
2022-01-15;10173;3.0
2022-01-15;10189;47.0
2022-01-15;10122;3.0
2022-01-15;10132;3.0
2022-01-15;10158;3.0
2022-01-15;10131;2.0
2022-01-15;10155;1.0
2022-01-15;10176;1.0
2022-01-15;10202;1.0
2022-01-15;10116;1.0
2022-01-15;10103;3.0
2022-01-15;10165;2.0
2022-01-15;10174;1.0
2022-01-15;10220;9.0
2022-01-15;10211;18.0
2022-01-15;10100;40.0
2022-01-15;10108;3.0
2022-01-15;10107;3.0
2022-01-15;10140;24.0
2022-01-15;10119;167.0
2022-01-15;10121;2.0
2022-01-15;10190;1.0
2022-01-15;10151;14.0
2022-01-15;10133;15.0
2022-01-15;10120;7.0
2022-01-15;10109;6.0
2022-01-15;10178;3.0
2022-01-15;10212;11.0
2022-01-15;10175;2.0
2022-01-15;10124;2.0
2022-01-15;10177;6.0
2022-01-15;10150;4.0
2022-01-15;10171;1.0
2022-01-16;10110;8.0
2022-01-16;10145;1.0
2022-01-16;10112;3.0
2022-01-16;10166;1.0
2022-01-16;10172;3.0
2022-01-16;10126;9.0
2022-01-16;10167;2.0
2022-01-16;10156;2.0
2022-01-16;10180;1.0
2022-01-16;10215;1.0
2022-01-16;10141;1.0
2022-01-16;10129;1.0
2022-01-16;10157;3.0
2022-01-16;10161;1.0
2022-01-16;10144;7.0
2022-01-16;10123;1.0
2022-01-16;10154;1.0
2022-01-16;10125;1.0
2022-01-16;10208;4.0
2022-01-16;10214;4.0
2022-01-16;10188;3.0
2022-01-16;10160;2.0
2022-01-16;10101;3.0
2022-01-16;10102;8.0
2022-01-16;10106;18.0
2022-01-16;10113;6.0
2022-01-16;10135;7.0
2022-01-16;10117;11.0
2022-01-16;10136;1.0
2022-01-16;10118;4.0
2022-01-16;10104;8.0
2022-01-16;10168;1.0
2022-01-16;10189;12.0
2022-01-16;10132;5.0
2022-01-16;10131;2.0
2022-01-16;10155;1.0
